"S No.","Code","Roll Size","Category","Name","Stocked/ Special Order","Price per Meter (AED)","Price Per Roll (AED)"
"1","S115","1.22 x 50 m","Solid Colours","Classic White","In Stock","27.72","1,320.00"
"2","S126","1.22 x 50 m","Solid Colours","White Smoke","In Stock","28.88","1,375.00"
"3","S127","1.22 x 50 m","Solid Colours","Cofee Cream","In Stock","28.88","1,375.00"
"4","S128","1.22 x 50 m","Solid Colours","Sand","In Stock","28.88","1,375.00"
"5","S140","1.22 x 50 m","Solid Colours","Black","In Stock","28.88","1,375.00"
"6","S141","1.22 x 50 m","Solid Colours","Porcelain Beige","Special Order","42.70","2,135.00"
"7","S143","1.22 x 50 m","Solid Colours","Medium Grey","In Stock","28.88","1,375.00"
"8","S145","1.22 x 50 m","Solid Colours","Brown","In Stock","28.88","1,375.00"
"9","S146","1.22 x 50 m","Solid Colours","Orange Yellow","Special Order","42.70","2,135.00"
"10","S147","1.22 x 50 m","Solid Colours","Red","Special Order","42.70","2,135.00"
"11","S149","1.22 x 50 m","Solid Colours","Dark Grey","In Stock","28.88","1,375.00"
"12","S150","1.22 x 50 m","Solid Colours","Classic Blue","Special Order","42.70","2,135.00"
"13","S153","1.22 x 50 m","Solid Colours","Powder Blue","Special Order","42.70","2,135.00"
"14","S156","1.22 x 50 m","Solid Colours","Clay Beige","In Stock","28.88","1,375.00"
"15","S157","1.22 x 50 m","Solid Colours","Warm Stone","Special Order","42.70","2,135.00"
"16","S158","1.22 x 50 m","Solid Colours","Light Grey","In Stock","28.88","1,375.00"
"17","S159","1.22 x 50 m","Solid Colours","Charcoal Grey","In Stock","28.88","1,375.00"
"18","S166","1.22 x 50 m","Solid Colours","Yellow Green","Special Order","42.70","2,135.00"
"19","S169","1.22 x 50 m","Solid Colours","Orange","Special Order","42.70","2,135.00"
"20","S173","1.22 x 50 m","Solid Colours","Royal Blue","Special Order","42.70","2,135.00"
"21","S175","1.22 x 50 m","Solid Colours","Blue Turquoise","Special Order","42.70","2,135.00"
"22","S176","1.22 x 50 m","Solid Colours","Off-White","In Stock","28.88","1,375.00"
"23","S177","1.22 x 50 m","Solid Colours","Pearl Ivory","Special Order","42.70","2,135.00"
"24","S178","1.22 x 50 m","Solid Colours","Cream","In Stock","28.88","1,375.00"
"25","S179","1.22 x 50 m","Solid Colours","Beige","In Stock","28.88","1,375.00"
"26","S181","1.22 x 50 m","Solid Colours","Classic Greige","In Stock","28.88","1,375.00"
"27","S183","1.22 x 50 m","Solid Colours","Cacao","Special Order","42.70","2,135.00"
"28","S185","1.22 x 50 m","Solid Colours","French Lilac","Special Order","42.70","2,135.00"
"29","S186","1.22 x 50 m","Solid Colours","Sky Blue","Special Order","42.70","2,135.00"
"30","S188","1.22 x 50 m","Solid Colours","Yellow","Special Order","42.70","2,135.00"
"31","S189","1.22 x 50 m","Solid Colours","Mint Green","Special Order","42.70","2,135.00"
"32","S194","1.22 x 50 m","Solid Colours","Mustard","Special Order","42.70","2,135.00"
"33","S195","1.22 x 50 m","Solid Colours","Platinum Blue","In Stock","28.88","1,375.00"
"34","S197","1.22 x 50 m","Solid Colours","Dark Blue","In Stock","28.88","1,375.00"
"35","S198","1.22 x 50 m","Solid Colours","Antique Grey","In Stock","28.88","1,375.00"
"36","S200","1.22 x 50 m","Solid Colours","Olive Green","Special Order","42.70","2,135.00"
"37","S201","1.22 x 50 m","Solid Colours","Sage Green","In Stock","28.88","1,375.00"
"38","S202","1.22 x 50 m","Solid Colours","Seaweed Green","Special Order","42.70","2,135.00"
"39","S204","1.22 x 50 m","Solid Colours","Navy Blue","In Stock","28.88","1,375.00"
"40","S208","1.22 x 50 m","Solid Colours","Ivory","In Stock","28.88","1,375.00"
"41","S209","1.22 x 50 m","Solid Colours","Stone Grey","In Stock","28.88","1,375.00"
"42","S210","1.22 x 50 m","Solid Colours","Ash","Special Order","42.70","2,135.00"
"43","S211","1.22 x 50 m","Solid Colours","Off-Black","In Stock","28.88","1,375.00"
"44","S212","1.22 x 50 m","Solid Colours","Earth Green","In Stock","28.88","1,375.00"
"45","S213","1.22 x 50 m","Solid Colours","Peach","Special Order","42.70","2,135.00"
"46","S214","1.22 x 50 m","Solid Colours","Light Green","In Stock","28.88","1,375.00"
"47","S215","1.22 x 50 m","Solid Colours","Almond Latte","In Stock","28.88","1,375.00"
"48","S216","1.22 x 50 m","Solid Colours","Paper White","In Stock","28.88","1,375.00"
"49","S217","1.22 x 50 m","Solid Colours","Pastel Pink","In Stock","28.88","1,375.00"
"50","S218","1.22 x 50 m","Solid Colours","Burgundy","Special Order","42.70","2,135.00"
"51","S219","1.22 x 50 m","Solid Colours","Lime","Special Order","42.70","2,135.00"
"52","S230","1.22 x 50 m","Solid Colours","Dark Turqouise","Special Order","42.70","2,135.00"
"53","S231","1.22 x 50 m","Solid Colours","Lava Stone Grey","Special Order","42.70","2,135.00"
"54","S232","1.22 x 50 m","Solid Colours","Bubblegum Pink","Special Order","42.70","2,135.00"
"55","S233","1.22 x 50 m","Solid Colours","Dark Green","In Stock","28.88","1,375.00"
