NO.,Brand,Code,Name,Type,CURRENT STOCK,,,,,
,,,,,FULL ROLLS,PARTIAL ROLLS,,,,
,,,,,125cms x 50m (Rolls),Partial Roll 1 (mtrs),Partial Roll 2 (mtrs),Partial Roll 3 (mtrs),Partial Roll 4 (mtrs), Reserve (mtrs)
REGULARLY STOCKED PATTERNS,,,,,,,,,,
1,Bodaq,RF008 (30m),Herringbone,Real Fabric,3,2m+10m+10m,1m+2m,7m,0,0
2,Bodaq,RF010 (30m),Grey,Real Fabric,20,4m,6m,5m,0,0
3,Bodaq,RF011 (30m),Cream,Real Fabric,33,1m+2m+1m,17m,4m,5m,0
4,Bodaq,SF801 (NEW),Chevron Fabric,Soft Fabric,2,1m+3m,1m+3m,9m+4m,1m,0
5,Bodaq,SF802 (NEW),Chevron Fabric,Soft Fabric,2,1m+6m,7m+8m+18m,5m,0,0
6,Bodaq,SF803 (NEW),Woven Fabric,Soft Fabric,9,2m+2m,3m+2m,8m+36m,0,0
7,Bodaq,SF804 (NEW),Woven Fabric,Soft Fabric,8,4m+28m,4m,0,0,0
8,Bodaq,SL401 (NEW),Ivory,Soft Leather,6,5m,6m,35m,0,0
9,Bodaq,SL402 (NEW),Sand,Soft Leather,7,1m+2m,1m,38m,0,0
10,Bodaq,SL403 (NEW),Cognac,Soft Leather,8,1m,49m,0,0,0
11,Bodaq,SL404 (NEW),Chocolate,Soft Leather,9,16m,32m,22m,0,0
OTHER PATTERNS IN STOCK (NOT REGULARLY STOCKED),,,,,,,,,,
1,Soif,CG5523,Off-White,Fabric,0,37.4m,0,0,0,0
2,Soif,CG5525,Grey,Fabric,0,13m,5m,0,0,0
3,Bodaq,RF007,,,0,3m,13m,0,0,0
4,Bodaq,NS821,Metalic Woven,Fabric,0,3m,28m,1m,1m,0
5,Bodaq,RF009 (30m),,Real Fabric,7,20m,7m,5m,0,0
6,Bodaq,TNS10 (40m),Woven Ivory,Leather,0,3m,37m,0,2m,0
8,Bodaq,NF904 (30m),Oxford Twill,Natural Fabric,0,4m+2m,0,0,0,11m
9,Bodaq,NF903 (30m),Herringbone,Natural Fabric,0,0,14m,0,0,0
10,Bodaq,NF905 (30m),Oxford Twill,Natural Fabric,0,1m,0,0,0,0
11,Bodaq,RF001 (30m),Linen,Real Fabric,0,1m,0,0,0,0
