NO.,BRAND,CODE,TYPE,CURRENT STOCK,,,,,,,,,
,,,,FULL ROLLS,PARTIAL ROLLS,,,,,,,,
,,,,125cms x 50m (Rolls),Partial Roll 1 (mtrs),Partial Roll 2 (mtrs),Partial Roll 3 (mtrs),Partial Roll 4 (mtrs),Partial Roll 5 (mtrs),Partial Roll 6 (mtrs),Partial Roll 7 (mtrs),Partial Roll 8 (mtrs),Reserved
"""REGULARLY STOCKED PATTERNS"" ",,,,,,,,,,,,,
1,Bodaq,BLC01 (40m) (NEW),Textured Plaster,45,6m,2m+7m+12m,1m+1m,0,0,0,0,0,0
2,Bodaq,BLC02 (40m) (NEW),Textured Plaster,12,11m,0,0,0,0,0,0,0,0
3,Bodaq,BLC03 (40m) (NEW),Textured Plaster,13,11m,0,0,0,0,0,0,0,0
4,Bodaq,BLC04 (40m) (NEW),Textured Plaster,10,1m+7m,20m,0,0,0,0,0,0,0
5,Bodaq,BLC05 (40m) (NEW),Textured Plaster,8,20m,0,0,0,0,0,0,0,0
6,Bodaq,PM003,Marble,6,1m+1m+21m,1m,0,1m,0,0,0,0,0
7,Bodaq,PM006,Marble,9,12m+5m+1m,1m+9m+9m,2m+20m,0,0,0,0,0,0
8,Bodaq,PM007,Marble,13,1m+1m,16m+2m+28m,2m+2m,0,0,0,2m,0,0
9,Bodaq,PM008,Terrazzo,11,4m+1m,1m+6m+6m,0,0,1m,0,0,0,0
10,Bodaq,PM010,Stone,9,15m,1m+5m,6m+4m,1m,0,0,0,0,0
11,Bodaq,PM016,Marble,1,0,0,9m,0,0,0,0,0,0
12,Bodaq,PM017,Marble,15,6m+2m+2m+43m,2m+1m+1m,0,0,0,0,0,0,0
13,Bodaq,PM019,Marble,57,5m+12m+32m+7m,1m+1m+1m+1m,3m+8m+1m+10m,0,1m,48m,0,0,0
14,Bodaq,NS118,Marble,18,1m+5m+1m+17m,1m+1m+1m+1m,8m+6m,0,0,0,0,0,0
15,Bodaq,NS119,Marble,4,1m+1m+1m+3m,1m+7m+1m+16m,2m+2m,2m,0,0,0,0,0
16,Bodaq,NS121,Stone,9,7m+32m,1m+1m+1m,1m,5m,5m,17m,0,0,7
17,Bodaq,NS122,Stone,23,2m,2m,29m,0,0,0,0,0,0
18,Bodaq,NS201 (NEW),Travertine,11,2m+6m+11m,4m+1m,1m,0,0,0,0,0,0
19,Bodaq,NS202 (NEW),Travertine,46,4m,5m,1m+33m,0,0,0,0,0,0
20,Bodaq,NS401,Concrete,10,1m+12m,5m+7m,12m,0,0,0,2m+2m,0,0
21,Bodaq,NS403,Concrete,3,7m+36m,10m+12m,0,1m,1m,0,0,0,10
22,Bodaq,NS703,Terrazzo,15,2m+5m,2m+15m,2m,1m,0,0,0,0,0
23,Bodaq,NS715,Stone,0,5m+3m,3m+1m,9m+32m,0,0,0,0,0,0
24,Bodaq,NS804,Marble,3,2m+6m,1m+32m,1m+1m,1m,0,0,0,0,0
25,Bodaq,NS806,Stone,6,7m+5m,1m+12m,10m,1m,0,0,0,0,0
26,Bodaq,NS814,Marble,24,1m+1m+2m,8m+1m+1m,1m+3m,4m,0,0,0,0,0
27,Bodaq,PNC42 (40m),Stone,12,1m+1m+4m,2m+2m+1m+5m,1m+33m,2m+14m,0,0,0,0,0
28,Bodaq,PNC43 (40m),Stone,4,5m,1m+3m+2m,2m+4m,25m,0,0,0,0,0
29,Bodaq,PNC44 (40m),Stone,11,2m+3m+3m,1m+8m+5m,19m+20m,8m,0,0,1m,0,0
30,Bodaq,PNC47 (40m),Stone,22,4m+34m,2m+3m+2m+2m,1m+1m+1m,2m,0,0,0,0,0
31,Bodaq,PNC49 (40m),Stone,68,9m+6m,1m+5m,7m,3m,0,0,0,0,0
32,Bodaq,PNC50 (40m),Stone,49,1m+8m+28m,1m+4m+11m+10m,4m,0,0,0,0,0,0
33,Bodaq,PNC51 (40m),Stone,16,1m+2m+3m,1m+26m+33m+10m,5m,2m,0,0,0,0,0
34,Bodaq,PNC52 (40m),Stone,21,1m+1m+1m,1m+2m+2m+1m,1m+2m+1m,1m,0,0,0,0,0
35,Bodaq,PNC53 (40m),Stone,14,1m+2m+16m,9m+1m+4m,1m,0,0,0,0,0,0
36,Bodaq,PNC54 (40m),Stone,14,3m+3m+15m,1m+12m+8m+15m,1m+1m,0,0,0,0,0,0
37,Bodaq,PNC55 (40m) ,Stone,57,3m+3m+22m,1m+1m+1m+16m,3m+2m,14m,0,0,0,0,0
38,Bodaq,PNC56 (40m),Stone,6,1m+2m+1m+6m,1m+1m+4m+32m,2m+3m,0,0,0,0,0,0
39,Bodaq,PNC57 (40m) ,Stone,6,5m+2m,16m,2m,2m,0,0,0,0,0
40,Bodaq,PNC58 (40m) ,Stone,22,2m+2m+3m,1m+1m+4m+1m,1m+1m+1m,7m,0,0,0,0,0
41,Bodaq,PNC59 (40m) ,Stone,25,1m+1m+20m,1m,2m+3m,1m,0,0,0,0,0
42,Bodaq,EXF51 (NEW),Stone,9,14m,7m,0,0,0,0,0,0,0
43,Bodaq,EXF52 (NEW),Stone,13,9m,7m,0,0,0,0,0,0,0
44,Bodaq,EXF53 (NEW),Stone,10,3m,27m,0,0,0,0,0,0,0
OTHER PATTERNS IN STOCK (NOT REGULARLY STOCKED),,,,,,,,,,,,,
1,Bodaq,NS815,Marble,0,0,0,0,0,0,0,0,0,0
2,Bodaq,NS897,Stone,0,0,0m,3m,0,0,0,0,0,0
3,Bodaq,NS801,Marble,0,0,2m,5m,0,0,0,0,0,0
4,Kointec,IP413-14,Marble,2,36,10m,3m,9m,0,0,0,0,0
5,Kointec,IP413-5,Gloss Marble,0,1,4m+5m,1m,3m,2m,2m,0,0,0
6,Kointec,IP413-7,Gloss Marble,0,2,5m,2m,2m+2m,1m,0,0,0,0
7,Soif,MG3081,Stone,0,0,16m,0,0,0,0,0,0,0
8,Soif,MG3080,,0,0,30m,0,0,0,0,0,0,0
9,LX Hausys,BM002,,1,0,17m,0,0,0,0,0,0,0
10,Kointec,IPW561,Concrete,14,44m,2m+21m,2m,2m+4m,3m+3m,2m,1m,0,0
11,Kointec,IPW560,Concrete,1,20m,,,,,,,,
12,Kointec,IPW559,Concrete,0,0,3m,4m,2m+2m,1m,2m,0,0,0
13,Kointec,CR100,Textured Cement,0,0,0,1.6m,1m,0,0,0,0,0
14,Kointec,CR200,Textured Cement,2,23,2m,3m,5m,5m,2m,2m,4m,0
15,Kointec,IP413-12,Matte Marble,0,0,3m+10m,1m+3m,2m+1m,0,0,1m,0m,0m
16,Kointec,IP415,Gloss Marble,2,0,5m,2m,14m,0,1m,0,0,0
17,Reface,MB813,Matte Marble,1,0,0,1m,28m,1m,26m+15m,0,0,0
18,Reface,MB008,Marble,0,0,20m,6m+2m,0,0,0,0,0,0
19,SOIF,MG455,,0,0,4m,0,0,0,0,0,0,0
20,Kointec,TSM834,,0,22m,0,0,0,0,0,0,0,0
21,Kointec,TSM835,,0,24m,0,0,0,0,0,0,0,0
22,Kointec,TSN836,,0,23m,0,0,0,0,0,0,0,0
23,Bodaq,NS820,Marble,0,0,12m,0,0,0,0,0,0,0
24,Bodaq,MW005,,0,0,0,0,0,0,0,0,0,0
25,Bodaq,APX19,Marble,0,0,0,0,0,0,0,0,0,0
26,Bodaq,NS708,Terrazzo,2,1m+1m+26m,1m+2m+7m,6m,0,0,0,0,0,0
27,Bodaq,NS822 (NEW),Stone,2,1m,3m,41m,3m,0,0,0,0,0
28,Bodaq,NS896,Terrazzo,0,41m,1m+1m,1m,11m,0,0,0,0,0
29,Bodaq,NS899,Stone,0,0,0,0,0,0,0,0,0,0
30,Bodaq,PNC41 (40m),Stone,0,1m+1m,0,0,0,0,0,0,0,0
31,Bodaq,PNC45 (40m),Stone,6,1m+1m+20m,1m+2m+2m,2m+3m,0,1m,0,0,0,0
