No,BRAND,CODE,NAME,TYPE,CURRENT STOCK,,,,,,,,,
,,,,,FULL ROLLS,PARTIAL ROLLS,,,,,,,,
,,,,,125cms x 50m (Rolls),Partial Roll 1 (mtrs),Partial Roll 2 (mtrs),Partial Roll 3 (mtrs),Partial Roll 4 (mtrs),Partial Roll 5 (mtrs),Partial Roll 6 (mtrs),Partial Roll 7 (mtrs),Partial Roll 8 (mtrs),Reserved
REGULARLY STOCKED PATTERNS,,,,,,,,,,,,,,
1,Bodaq,LW102,Denver Oak,Long Wood,51,2m+1m,13m+7m+13m+5m,4m+1m+32m,3m,0,0,0,0,0
2,Bodaq,LW106,Sonoma Oak,Long Wood,53,17m+1m+22m,1m+2m+2m+1m,2m+2m,0,0,0,0,0,0
3,Bodaq,LW107 ,Timber Oak,Long Wood,11,1m+5m+1m+1m+23m,5m+6m+5m+3m,0,0,0,0,0,0,0
4,Bodaq,LW109 ,Timber Oak,Long Wood,13,4m+5m+1m,1m+4m,2m+3m,4m,0,0,0,0,0
5,Bodaq,LW116,Amber Oak,Long Wood,0,1m+6m+1m,1m+11m,3m+1m,0,0,0,0,0,0
6,Bodaq,LW120 ,Ebony Oak,Long Wood,24,1m+1m,30m,0,0,0,0,0,0,0
7,Bodaq,LW203 (NEW),Noa Oak,Long Wood,3,8m,5m,0,0,0,0,0,0,0
8,Bodaq,SPW12,White Oak,Premium Wood,0,1m+1m,0,0,0,0,0,0,0,0
9,Bodaq,SPW13,Oak,Premium Wood,5,1m+2m+2m+25m,1m+2m+8m,2m,0,0,3m,1m,0,0
10,Bodaq,SPW14,Oak,Premium Wood,18,2m+1m+3m+20m+29m,1m+1m+13m,2m,2m,1m,0,0,0,0
11,Bodaq,SPW15,Velvet Oak,Premium Wood,11,1m+22m+5m+35m,5m+11m+2m,1m+12m,0,0,0,0,0,0
12,Bodaq,SPW16,Velvet Oak,Premium Wood,31,4m+2m+7m+24m,4m+4m+25m,5m+5m,0,0,0,0,0,0
13,Bodaq,SPW19,Dark Oak,Premium Wood,1,48m,0,0,0,0,0,0,0,0
14,Bodaq,SPW22,Solid Oak,Premium Wood,11,2m,2m+1m+2m+2m,1m,2m+12m+44m+9m,23m+1m+5m+12m,48m+7m,0,0,0
15,Bodaq,SPW23,Solid Oak,Premium Wood,8,1m+3m+2m+40m,1m+1m+4m+3m,1m,1m,1m+2m+1m,0,0,0,0
16,Bodaq,SPW29,Oak,Premium Wood,6,2m+2m+3m,1m+1m+2m+14m,5m+3m,4m,0,0,0,0,0
17,Bodaq,SPW39 (NEW),Siena Teak,Premium Wood,1,9m,12m,0,0,0,0,0,0,0
18,Bodaq,SPW41,Teak,Premium Wood,18,1m+2m+2m+18m,1m+2m+5m+9m,5m,1m,0,0,0,0,0
19,Bodaq,SPW43,Oak,Premium Wood,10,2m+1m+1m+2m+2m+1m,2m+3m+4m+10m,2m+4m+6m+3m,1m+1m+4m,4m+5m,0,0,0,0
20,Bodaq,SPW44,Oak,Premium Wood,12,1m+3m+9m+39m,3m+1m+2m+3m,2m+2m,1m,0,0,0,0,0
21,Bodaq,SPW47,Walnut,Premium Wood,59,7m+23m,5m+7m,3m+1m,0,0,0,0,0,0
22,Bodaq,SPW54,Elder,Premium Wood,39,2m+2m+1m+3m,2m+1m+1m+15m+13m,2m+3m,2m+3m,5m,0,0,0,0
23,Bodaq,SPW61,Wash Oak,Premium Wood,3,10m,2m,1m+2m+1m,2m,0,0,0,0,0
24,Bodaq,SPW62,Wash Oak,Premium Wood,6,1m+6m+4m,5m,0,0,0,0,0,0,0
25,Bodaq,SPW64,Oak,Premium Wood,1,1m+4m,31m,3m,0,0,0,0,0,0
26,Bodaq,SPW67,Elm,Premium Wood,35,3m+2m+1m+32m,14m,7m,0,0,0,0,0,0
27,Bodaq,SPW70,Eucalyptus,Premium Wood,8,1m+45m,2m,1m+7m+1m,0,0,2m,1m,0,0
28,Bodaq,SPW71,Eucalyptus,Premium Wood,23,1m+1m+16m+2m,2m+4m+2m+2m+25m,1m+1m+10m,1m,2m,0,0,0,0
29,Bodaq,SPW90,African Teak,Premium Wood,3,7m+25m,2m+17m,20m,0,0,0,0,0,0
30,Bodaq,SPW91,Oak,Premium Wood,13,1m+2m+16m+18m,2m+10m,3m+3m,0,0,0,0,0,0
31,Bodaq,SPW95,Eiche,Premium Wood,0,1m+1m+1m+1m,24m,0,0,0,0,0,0,0
32,Bodaq,SPW99,Oak,Premium Wood,10,1m+15m+25m,1m+18m,2m,0,0,0,0,0,0
33,Bodaq,OGW01 (NEW),Noble Oak,Optical Grain Wood,18,1m+1m+15m,2m+3m,3m+16m,1m,0,0,0,0,0
34,Bodaq,OGW02 (NEW),Noble Oak,Optical Grain Wood,20,3m,1m,2m,0,0,0,0,0,0
35,Bodaq,OGW03 (NEW),Noble Oak,Optical Grain Wood,4,4m+2m+2m,5m+5m+22m,2m,0,0,0,0,0,0
36,Bodaq,OGW04 (NEW),Essence Teak,Optical Grain Wood,18,3m,7m,0,0,0,0,0,0,0
37,Bodaq,OGW05 (NEW),Essence Teak,Optical Grain Wood,6,3m,15m,25m,0,0,0,0,0,0
38,Bodaq,OGW06 (NEW),Essence Teak,Optical Grain Wood,1,2m+36m,2m+6m,7m,0,0,0,0,0,0
39,Bodaq,ZX126 (PZ013),Walnut,Rich Wood,4,2m+1m+33m,1m+6m+4m,1m,0,0,0,0,0,0
40,Bodaq,ZX141 (NEW),Ash,Rich Wood,4,9m,0,0,0,0,0,0,0,0
41,Bodaq,ZX149 (XP118),Walnut,Rich Wood,19,1m+28m,1m,4m+3m,0,0,0,0,0,0
42,Bodaq,ZX153 (Z805S),Maple,Rich Wood,23,1m+7m,11m,0,0,0,0,0,0,0
43,Bodaq,ZX161 (Z850S),Oak,Rich Wood,14,1m+1m+3m+3m,1m+2m+2m+2m+13m,2m+2m+2m,1m+1m,0,0,0,0,0
44,Bodaq,ZX162 (Z851S),Oak,Rich Wood,27,5m+1m+2m+7m+20m,1m+1m,11m,3m,0,0,0,0,0
45,Bodaq,ZX165 (Z858S),Oak,Rich Wood,15,1m,5m+30m,1m,2m,1m+3m,0,0,0,0
46,Bodaq,ZX171,Oak,Rich Wood,29,1m+3m+4m+1m+3m,1m+1m+1m+13m,2m+2m,0,0,0,0,0,0
47,Bodaq,ZX174,Oak,Rich Wood,24,2m+2m+1m,4m+3m+24m,2m,0,0,0,0,0,0
48,Bodaq,W011,Wash Oak,Wood,31,1m+12m+8m+35m,1m+4m+1m+4m+2m,45m,1m,0,0,0,0,0
49,Bodaq,W015 ,Ash,Wood,10,2m+2m+4m,2m,2m+7m+10m+14m,0,0,0,0,0,0
50,Bodaq,W017 (NEW),Eucalyptus,Wood,11,28m,5m+1m,3m,0,0,0,0,0,0
51,Bodaq,W018 (NEW),Eucalyptus,Wood,12,1m,27m,0,0,0,0,0,0,0
52,Bodaq,W141,Walnut,Wood,10,2m+2m+1m+1m,8m+18m,1m,0,0,0,0,0,0
53,Bodaq,W198,Oak,Wood,20,15m+9m,2m+2m,2m+2m+5m,3m+6m,0,0,0,0,0
54,Bodaq,W206,Walnut,Wood,30,7m+2m+14m,1m+3m+13m,1m+11m,0,0,0,0,0,0
55,Bodaq,W207,Walnut,Wood,9,2m+1m+3m,1m+1m+8m,13m,0,0,0,0,0,0
56,Bodaq,W351,White Oak,Wood,7,11m+1m+13m,1m+1m+3m,2m+1m+1m,0,0,0,0,0,0
57,Bodaq,W375,Wash Oak,Wood,8,1m+1m+1m+6m+2m+4m,2m+2m+4m+1m+35m,4m+2m,4m+14m+4m,13m,0,0,0,0
58,Bodaq,W376,Walnut,Wood,36,3m+9m,2m+1m,1m+1m,4m+22m+15m,0,0,0,0,0
59,Bodaq,W388,Ash,Wood,6,6m+5m+9m,1m+2m+2m+2m,3m+2m,3m,0,0,0,0,0
60,Bodaq,W402 (NEW),Riven Oak,Wood,7,4m+1m+48m,1m,1m,0,0,0,0,0,0
61,Bodaq,W403 (NEW),Riven Oak,Wood,8,9m+3m+38m,3m+4m+11m,5m,0,0,0,0,0,0
62,Bodaq,W538,Pine,Wood,5,1m+1m+1m+2m+8m,1m+10m+37m,2m+1m,0,0,0,0,0,0
63,Bodaq,W632,Castagno Cadduci,Wood,3,3m+1m+2m,2m+3m,8m,0,0,0,0,0,0
64,Bodaq,W705,Noce,Wood,52,36m,1m+2m,1m,0,1m,0,0,0,0
65,Bodaq,W722,Noce,Wood,17,1m+4m+10m,3m+2m+1m,2m+4m,4m,2m,0,0,0,0
66,Bodaq,W742 (NEW),Soft Noche,Wood,12,43m,7m,0,0,0,0,0,0,0
67,Bodaq,W863,Oak,Wood,26,1m+2m+2m+5m+1m,1m+1m+4m+5m,1m+5m,1m,0,0,0,0,0
68,Bodaq,W874,Oak,Wood,19,3m,0,0,0,0,0,0,0,0
69,Bodaq,W878,Oak,Wood,1,1m+4m+2m+10m,1m+2m+1m+2m,2m+35m,2m,3m,0,0,0,0
70,Bodaq,W881 (NEW),Ash,Wood,11,1m+2m+32m,5m,0,0,0,0,0,0,0
71,Bodaq,W935,Maple,Wood,31,1m+9m+34m,2m+4m+1m,1m+1m,0,0,0,0,0,0
72,Bodaq,W943,Oak,Wood,15,38m,0,0,0,0,0,0,0,0
73,Bodaq,W949,Oak,Wood,8,3m+2m,1m+3m+33m,3m+3m,3m+4m,8m,0,0,0,0
74,Bodaq,W952 ,Teak,Wood,8,24m+24m+23m,1m+1m+8m,5m+30m+20m,0,0,0,0,0,0
75,Bodaq,W954 (NEW),Walnut,Wood,4,8m,2m,20m,0,0,0,0,0,0
76,Bodaq,W957 (NEW),Velvet Oak,Wood,0,3m,4m+29m,4m,0,0,0,0,0,8
77,Bodaq,ZSW04,White,Painted Wood,58,1m+1m+1m+11m,2m+2m+6m+20m,2m+2m+11m,1m,4m+5m+2m,0,0,0,0
78,Bodaq,PTW01,Ivory,Painted Wood,25,1m+2m+1m+18m+6m,1m+6m+1m+4m+1m+5m+26m,1m+3m+4m+2m,0,0,0,0,0,0
79,Bodaq,PTW07,Blue,Painted Wood,5,2m,5m+8m+10m,2m,0,2m,3m,0,0,0
80,Bodaq,PTW08,Pistachio Green,Painted Wood,5,1m,1m+1m+1m+9m+1m,2m,2m,0,0,0,0,0
81,Bodaq,PTW09,Taupe,Painted Wood,14,2m+1m+2m+2m,1m+1m,5m+21m,1m,2m,0,0,0,0
82,Bodaq,PTW10,Light Beige,Painted Wood,17,1m+3m+1m+2m+3m+15m,1m+1m+3m+2m+1m+6m,1m+3m,7m,0,0,0,0,0
83,Bodaq,PTW11,Light Grey,Painted Wood,8,3m+8m+5m,2m+1m,3m,1m,1m,2m,1m,0,0
84,Bodaq,PTW14,Greige,Painted Wood,21,3m+2m+10m,5m+4m+3m+35m,3m+2m,0,0,0,0,0,0
85,Bodaq,PTW15,Black,Painted Wood,19,1m+2m+1m+14m,5m+1m+1m+14m,1m,0,0,0,0,0,0
86,Bodaq,PTW16,Matte White,Painted Wood,21,2m+2m+2m+26m,2m+2m+2m,8m+1m,0,0,0,0,0,0
87,Bodaq,LS102,White Textured,Painted Wood,10,2m+2m+14m+1m+5m,2m+2m+9m,1m,0,2m,3m,0,2m+1m,0
88,Bodaq,PNT01 (40m),White,Premium Painted Wood,7,5m+2m+4m+1m,4m+3m+4m,1m+32m,3m+3m,1m+1m,0,2m,1m,0
89,Bodaq,PNT02 (40m) ,Ice Grey,Premium Painted Wood,14,2m+2m+4m,2m+1m+1m+10m,1m+2m,0,0,0,0,0,0
90,Bodaq,PNT03 (40m),Light Greige,Premium Painted Wood,16,1m+20m,13m+4m+5m,3m,0,0,0,0,0,0
91,Bodaq,PNT04 (40m),Grey,Premium Painted Wood,27,5m+2m+9m+10m,5m+3m+2m+12m,2m+2m,0,0,0,0,0,0
92,Bodaq,PNT07 (40m),Green,Premium Painted Wood,9,1m+4m+1m+9m,8m+1m+5m,2m+30m,0,0,0,0,0,0
OTHER PATTERNS IN STOCK (NOT REGULARLY STOCKED),,,,,,,,,,,,,,
1,Bodaq,ZX129 (PZ022),Walnut,Rich Wood,0,0,3m,0,0,0,0,0,0,0
2,Bodaq,W703,Akagashi,Wood,0,0,3m,30m,0,0,0,0,0,0
3,Bodaq,W520,Rose Wood,Wood,0,0,4m,0,0,0,0,0,0,0
4,Bodaq,W903,Artificial Wood,Wood,0,0,17m,17m,0,0,0,0,0,0
5,Bodaq,W938,White Ash,Wood,0,0,20m,0,0,0,0,0,0,0
6,Bodaq,W357,Ash,Wood,0,0,3m,0,0,0,0,0,0,0
7,Bodaq,DW702 (ZX115),Collection Wood,Design Wood,0,0,9m,0,0,0,0,0,0,0
8,Bodaq,DW710,Hardwood Pannel,Design Wood,0,0,6m,0,0,0,0,0,0,0
9,Bodaq,SPW63,Oak,Premium Wood,0,4m,0,0,0,0,0,0,0,0
10,Bodaq,W149,Walnut,Wood,0,0,3m,0,0,0,0,0,0,0
11,Bodaq,W858,Oak,Wood,0,0,17m,0,0,0,0,0,0,0
12,Bodaq,PZN05,,Wood,0,0,5m,0,0,0,0,0,0,0
13,Kointec,IT604,Larch,Painted Wood,3,0,7m,9m,0,0,0,0,0,0
14,Bodaq,ZX127 (PZ017),,Wood,0,0,14m,0,0,0,0,0,0,0
15,Bodaq,ZX103 (BZ122),,Wood,0,0,1m,0,0,0,0,0,0,0
16,Bodaq,ZX166 (Z859S),,Wood,0,0,0,0,0,0,0,0,0,0
17,Bodaq,BZ913,,Wood,0,0,35m,19m,6m,0,0,0,0,0
18,Bodaq,ZX104 (BZ793),,Wood,0,0,2m,0,0,0,0,0,0,0
19,Bodaq,SPW98,,,0,0,1m,0,0,0,0,0,0,0
20,Bodaq,ZX158,,,0,0,0,0,0,0,0,0,0,0
21,Bodaq,W864,,,0,0,2m,0,0,0,0,0,0,0
22,Bodaq,BP004/PZN05,,,0,0,4m,0,0,0,0,0,0,
23,Bodaq,W931,Anigre,Standard Wood,0,0,4m,0,0,0,0,0,0,0
24,Bodaq,PZN11,,,0,0,42.4m+16.5m,0,0,0,0,0,0,
25,Bodaq,ZX108,,,0,0,0,0,0,0,0,0,0,0
26,Bodaq,ZX167,,,0,0,9.6m,0,0,0,0,0,0,1rolls + 25m + 21m+29 Rolls +45m
27,Bodaq,BZ113 / ZX102,,,0,0,7m,0,0,0,0,0,0,0
28,Bodaq,ZX106,,,0,0,0,0,0,0,0,0,0,0
29,Kointec,IT311,Teak wood,Wood,12,0,5m,0,0,0,0,0,0,0
30,Kointec,IT414,Light Teak,Wood,0,0,2m,0,0,0,1m,0,0,0
31,Kointec,IT611,Vintage Oak,Wood,5,0,14m,0,0,0,0,0,0,0
32,Kointec,IT612,Washed Oak,Wood,7,0,12m,0,0,0,0,0,0,0
