NO.,BRAND,CODE,NAME,CURRENT STOCK,,,,,,,,
,,,,FULL ROLLS,PARTIAL ROLLS,,,,,,,
,,,,125cms x 50m (Rolls),Partial Roll 1 (mtrs),Partial Roll 2 (mtrs),Partial Roll 3 (mtrs),Partial Roll 4 (mtrs),Partial Roll 4 (mtrs),Partial Roll 6 (mtrs),Partial Roll 7 (mtrs),RESERVED
REGULARLY STOCKED PATTERNS,,,,,,,,,,,,
1,Bodaq,SMT01,Ivory,20,3m+2m+5m,2m+3m+5m,3m,1m,1m,1m,0,0
2,Bodaq,SMT02,Cream,12,1m+1m+10m,1m+6m+5m+9m+13m,1m+3m+5m+1m,1m+5m,2+4m,1m,3m,0
3,Bodaq ,SMT03,Beige,31,1m+1m+6m+21m,1m+3m,1m,1m,0,0,0,0
4,Bodaq,SMT04,Greige,12,15m+1m+7m,1m+3m+1m,2m+5m+2m,6m,0,0,0,0
5,Bodaq,SMT07,Black,36,1m,2m+2m,2m,4m,0,0,0,0
6,Bodaq,SMT12,Light Greige,7,1m+1m+2m+1m,1m+2m+11m+7m,2m+2m+15m,3m,0,0,0,0
7,Bodaq,SMT16 ,Frost White,18,3m,2m+2m+2m+3m+1m,2m+1m+1m,1m,0,0,0,2
8,Bodaq,SMT17 ,Antique Ivory,12,6m+17m,2m+2m+2m,1m,1m+2m,0,0,0,0
9,Bodaq,SMT24,White,1,1m+31m,1m,1m+1m,1m+1m,2m,1m,0,0
10,Bodaq,S115,Classic White,108,1m+10m+1m+5m,1m+3m,1m+1m,1m,0,0,0,0
11,Bodaq,S126,White Smoke,40,3m+2m+13m+31m,1m+14m+5m,3m+2m,10m+2m,0,0,0,0
12,Bodaq,S127,Coffee Cream,12,1m+2m+1m+2m+25m,1m+1m+2m+19m+40m,3m+2m+3m+1m,1m+4m,0,2m,0,0
13,Bodaq,S128,Sand,35,1m+7m+1m+5m+2m+21m,1m+1m+1m+1m+17m+4m,2m+7m+12m,1m,1m,0,0,0
14,Bodaq,S140,Black,77,1m+3m+25m,2m,1m,2m+3m,0,0,0,0
15,Bodaq,S143,Medium Grey,17,2m+2m,2m+1m+2m,1m+7m,2m,7m,0,0,0
16,Bodaq,S145,Brown,3,1m+1m+2m+37m,1m+8m+1m+13m,1m+3m,1m,1m,1m,0,0
17,Bodaq,S149,Dark Grey,1,1m+1m+2m+2m,1m+1m+34m,2m+1m+1m,2m+3m,0,0,0,0
18,Bodaq,S156,Clay Beige,44,2m+1m+3m,5m+2m+3m+12m,2m+17m+28m,2m+1m,0,0,0,0
19,Bodaq,S158,Light Grey,11,1m,19m,0,0,0,0,0,0
20,Bodaq,S159,Charcoal Grey,27,3m,41m,1m,26m,0,0,1m,0
21,Bodaq,S176,Off-White,101,2m+5m,2m+2m,1m+8m,1m+2m,20m+24m+21m,0,0,0
22,Bodaq,S178,Cream,69,2m+2m+1m+1m+23m,2m+2m+1m,2m+2m,1m+2m,0,0,0,0
23,Bodaq,S179,Beige,76,1m+11m+3m,1m+2m+5m+7m,1m+2m+5m,4m,2m,9m,0,0
24,Bodaq,S181,Classic Greige,47,2m+7m+7m+17m,2m+2m,2m+13m,0,0,0,0,0
25,Bodaq,S195,Platinum Blue,3,2m+24m,2m,1m,0,1m,1m,0,0
26,Bodaq,S197,Deep Blue,12,4m+7m,1m+3m,1m+2m,2m,0,0,0,0
27,Bodaq,S198,Antique Grey,9,7m,0,1m,0,0,0,0,0
28,Bodaq,S201,Sage Green,27,3m+5m+33m,1m+2m,1m+1m,3m+2m,0,0,0,0
29,Bodaq,S204,Navy Blue,2,6m+20m,1m+2m,1m+2m,2m,0,0,0,0
30,Bodaq,S208,Ivory,33,2m+2m+35m,1m+2m+1m+5m,1m+1m+4m,1m+5m,0,0,0,0
31,Bodaq,S209,Stone Grey,29,2m,1m+1m+1m+2m,15m,0,0,2m,0,0
32,Bodaq,S211,Off-Black,13,17m,6m+1m+6m+2m,1m,1m,5m,0,0,0
33,Bodaq,S212,Earth Green,45,1m+1m+1m,1m+4m+5m+18m,1m+2m+12m,1m+3m,0,0,0,0
34,Bodaq,S214,Light Green,18,1m+1m+2m+21m,5m+1m+5m,1m+15m,3m,0,0,0,0
35,Bodaq,S215,Almond Latte,35,1m+4m+1m+11m+4m+8m,7m+1m+1m+1m+10m+10m,3m+22m,4m,1m+2m,0,0,0
36,Bodaq,S216,Paper White,15,1m+1m+2m+10m,1m+2m+1m+2m+5m,2m+1m+18m,1m+2m,0,0,0,0
37,Bodaq,S217,Pastel Pink,1,1m+1m+1m+6m,1m+2m+3m+43m,2m+4m+1m,0,2m,0,0,0
38,Bodaq,S233,Dark Green,11,8m+1m+10m+7m,1m+2m+2m+14m,2m+1m+5m,1m,0,0,0,0
39,Bodaq,S235,Graphite Grey,7,1m+2m,1m+2m+17m,2m,0,0,0,0,0
40,Bodaq,S239,Pistachio Green,5,1m+2m+1m+6m+13m,2m+1m+14m+5m,1m+2m+3m,2m,0,0,0,0
41,Bodaq,S240,Light Greige,33,1m+2m+4m+8m,1m+2m+25m+9m,17m+5m,2m+9m,0,0,0,0
42,Bodaq,S243,Soft White,35,16m+10m+4m+5m+25m,1m+1m+2m+4m+3m,1m+4m+2m+4m+1m,0,0,1m,0,0
43,Bodaq,S246,Desert Tan,1,5m,7m,5m,0,0,0,0,0
44,Bodaq,S248,Aqua Frost,2,1m+3m+32m,1m+5m,1m+2m,4m,0,0,0,0
45,Bodaq,S252 (NEW),Baked Clay,8,30m,14m,0,0,0,0,0,0
46,Bodaq,S255,Matte White,9,4m,3m,4m,2m,0,0,0,0
47,Bodaq,S257,Matte Sand,25,1m+1m+2m+3m,1m+1m+2m+1m+2m+2m,2m+1m+1m+20m,1m,0,0,0,0
48,Bodaq,S262 (NEW),Deep Maroon,5,32m,,,,,,,
49,Bodaq,S263 (NEW),Cloud White,15,1m,11m,13m,0,0,0,0,0
50,Bodaq,S264 (NEW),Ash White,14,3m+19m,8m,29m,0,0,0,0,0
51,Bodaq,S265 (NEW),Warm White,20,7m,12m,0,0,0,0,0,0
52,Bodaq,S266 (NEW),Warm Ivory,6,2m+5m+13m,5m,2m,0,0,0,0,0
53,Bodaq,HS204,White,12,3m+7m+22m,0,1m,1m,0,0,0,0
54,Bodaq,ECF01 (NEW),Whiteboard,1,3m,20m,25m,0,0,0,0,0
OTHER PATTERNS IN STOCK (NOT REGULARLY STOCKED),,,,,,,,,,,,
NO.,BRAND,CODE,NAME,CURRENT STOCK,,,,,,,,
,,,,FULL ROLLS,,PARTIAL ROLL,,,,,,
,,,,125cms x 50m (Rolls),125cms x 10m (Rolls),Partial Roll 1 (mtrs),Partial Roll 2 (mtrs),Partial Roll 3 (mtrs),Partial Roll 4 (mtrs),Partial Roll 4 (mtrs),Partial Roll 6 (mtrs),Partial Roll 7 (mtrs)
1,Kointec,SD991,Coal Grey,0,9,9m,7m,0m,0,0,0,0
2,Kointec,IPH604-1,Black Pearl Flakes,0,5,0,0,3m,0,0,0,0
3,LX Hausys,ES165,,0,34m,2m,12m,0,0,0,0,0
4,LX Hausys,ES125,,2,32m,3m,18m,7m,0,0,0,0
5,Kointec,SD1905,,0,36m,0,0,0,0,0,0,0
6,Kointec,SD902,Cream,0,0,19m,0,15m,1m,0m,0m,0
7,Kointec,SD933,Dark Beige,0,0,0,5m,0,0,0,0,0
8,Kointec,SD998,Cloud Grey,0,0,7m,0,0,0,0,0,0m
9,Kointec,SD983,Smoke Grey,1,0,8m,15m,12m,5m,2m,0,0
10,Kointec,SD984,Medium Grey,0,0,2m,31m,2m,3m,1m,4m,3m
11,Kointec,SD934,Steel Grey,0,0,10m,10m,4m,0,0,0,0
12,Kointec,SD928,Dark Grey,0,0,40m,1m,1m,2m,1m,0,0
13,Kointec,SD988,Deep Grey,5,0,3m+33m,0,6m+3m,2m,5m,3m,2m
14,Kointec,SD929,Light Green,5,48,12m,8m,31m,0,0m,0,0
15,Kointec,SD970,Aquamarine,0,0,5m,0m,8m,5m,0,0,0
16,Kointec,SD930,Sky Blue,0,25,7m,7m,2m,2m,0,0,0
17,Kointec,SD996,Bermuda Grey,0,3,14m,2m,3m+3m,4m,0,0,0
18,Kointec,SD992,Pistachio Green,0,0,2m,3m,0,1m,0,4m,1m
19,Kointec,SD994,Olive Green,0,11,3m,5m,1m+4m,7m,0,0,0
20,Kointec,SD959,Olive Green,2,1,10m,17m,0,1m+3m,0,0,0
21,Kointec,IPH601-1,White Pearl Flakes,0,0,4m,0,3m,0,0,0,0
22,Kointec,IH716,Cream,0,25,3m,0,0,0,0,0,0
23,Kointec,IH725,Light Grey,0,0,0,3m+4m+1m,5m,2m,1m,0,0
24,Kointec,IH719,Medium Grey,0,13,6m,5m,4m,1m,0,1m,0
25,Kointec,IH720,Dark Grey,0,15,11m+1m,6m,8m+7m,9m,2m,1m+5m,0
26,Kointec,IH723,Dark Blue,1,16,36m,0,0,0,0,0,0
27,Kointec,IH715,Black,0,0,0,0,0,0,0,0,0
28,Reface,SM101,White,0,0,0,0,0,0,0,0,0
29,Reface,SM112,Glacier Blue,1,0,20m,0,0,0,0,0,0
30,Reface,SM107,Black,0,0,0,2m,0,0,0,0,0
31,Bodaq,S169,Orange,0,0,4m,0,0,0,0,0,0
32,Bodaq,S237,,0,0,0,0,0,0,0,0,0
33,Bodaq,S213,,0,0,14m,30m,0,0,0,0,0
34,Bodaq,SMT11,,0,0,0,0,0,0,0,0,0
35,Bodaq,SMT15,,0,0,1.9m,0,0,0,0,0,0
36,Bodaq,S173,Royal Blue,0,0,25m,0,0,0,0,0,0
37,Bodaq,S230,Dark Turqouise,0,0,2m,1m,1m,0,1m,0,41m
38,Bodaq,S242,Space Blue,0,1m+1m,1m,1m,0,0,0,0,0
39,Bodaq,S175,,0,6m,0,0,0,0,0,0, 
40,Bodaq,CP202,White Shimmer,3,15m,1m,3m+3m,1m,0,0,0,0
41,Bodaq,S202,Seaweed Green,0,0,0,0,0,0,0,0,0
42,Bodaq,SMT05,Medium Grey,6,6m+1m+12m,1m+18m,8m+7m,5m,0,5m,0,0
43,Bodaq,SMT06,Dark Grey,0,0,0,0,0,0,0,0,0
44,Bodaq,SMT13,Light Grey,4,6m+1m+3m+3m,2m+1m+10m,4m+2m+3m,2m,0,0,0,0
45,Bodaq,SMT21,Rose Beige,0,4m,0,1m,0,0,0,0,0
46,Bodaq,S259,,,0,,,,,,,
47,Bodaq,S177,,,0,,,,,,,
48,Bodaq,S141,,0,0,0,,,,,,
